Burden Section:
Prevalence: 40
- Text: LEP
  Average Value: 0.010593751489088964
- Text: PCSK1
  Average Value: 0.0013687853162946849
- Text: LEPR
  Average Value: 0.007469456560886458
- Text: POMC
  Average Value: 0.0204062431792532
- Text: MC4R
  Average Value: 0.00010414703922408697
- Text: SIM1
  Average Value: 0.7557301538025853
- Text: NTRK2
  Average Value: 0.45421082964931603
- Text: SH2B1
  Average Value: 0.19965331318250126
- Text: KSR2
  Average Value: 0.5893806603184605
- Text: ADCY3
  Average Value: 0.03765942019798392

Prevalence: 25
- Text: LEP
  Average Value: 0.00162183530798462
- Text: PCSK1
  Average Value: 0.00152530816653296
- Text: LEPR
  Average Value: 0.00781955772024327
- Text: POMC
  Average Value: 0.0171669073360271
- Text: MC4R
  Average Value: 7.60830253538995e-05
- Text: SIM1
  Average Value: 0.800047806185886
- Text: NTRK2
  Average Value: 0.397074527374396
- Text: SH2B1
  Average Value: 0.192814207507223
- Text: KSR2
  Average Value: 0.60861511815909
- Text: ADCY3
  Average Value: 0.0185056972306454

Prevalence: 50
- Text: LEP
  Average Value: 0.013667502161193567
- Text: PCSK1
  Average Value: 0.0009894475017360924
- Text: LEPR
  Average Value: 0.005601080608997449
- Text: POMC
  Average Value: 0.01601741980123622
- Text: MC4R
  Average Value: 6.407092547556032e-05
- Text: SIM1
  Average Value: 0.7073423870008108
- Text: NTRK2
  Average Value: 0.45008062113133757
- Text: SH2B1
  Average Value: 0.1953228626067818
- Text: KSR2
  Average Value: 0.5761245966476263
- Text: ADCY3
  Average Value: 0.07351676192805497

SKAT Section:
Prevalence: 40
- Text: LEP
  Average Value: 0.013584390216123746
- Text: PCSK1
  Average Value: 0.007330275410218859
- Text: LEPR
  Average Value: 0.0038944115473653145
- Text: POMC
  Average Value: 0.04143966301251477
- Text: MC4R
  Average Value: 0.0022983910517398133
- Text: SIM1
  Average Value: 0.7409576030081517
- Text: NTRK2
  Average Value: 0.49651001519498367
- Text: SH2B1
  Average Value: 0.7744864906852712
- Text: KSR2
  Average Value: 0.8210538013104597
- Text: ADCY3
  Average Value: 0.03684030430151427

Prevalence: 50
- Text: LEP
  Average Value: 0.00162183530798461
- Text: PCSK1
  Average Value: 0.0108099320865154
- Text: LEPR
  Average Value: 0.00550244337916861
- Text: POMC
  Average Value: 0.0470973691643064
- Text: MC4R
  Average Value: 0.00159052988925446
- Text: SIM1
  Average Value: 0.800047806185887
- Text: NTRK2
  Average Value: 0.468485399222215
- Text: SH2B1
  Average Value: 0.722659216588499
- Text: KSR2
  Average Value: 0.88028204723085
- Text: ADCY3
  Average Value: 0.0410041747148141

SKATO Section:
Prevalence: 40
- Text: LEP
  Average Value: 0.013584390216123746
- Text: PCSK1
  Average Value: 0.0017319888853878113
- Text: LEPR
  Average Value: 0.004463725272965437
- Text: POMC
  Average Value: 0.02668813205396223
- Text: MC4R
  Average Value: 0.00019614175838538364
- Text: SIM1
  Average Value: 0.7409576030081517
- Text: NTRK2
  Average Value: 0.5555277272059954
- Text: SH2B1
  Average Value: 0.30898423815088405
- Text: KSR2
  Average Value: 0.8178273741743336
- Text: ADCY3
  Average Value: 0.03236866398660896

Prevalence: 50
- Text: LEP
  Average Value: 0.00162183530798461
- Text: PCSK1
  Average Value: 0.00241575830779728
- Text: LEPR
  Average Value: 0.00612267594332938
- Text: POMC
  Average Value: 0.0249700727264845
- Text: MC4R
  Average Value: 0.000146151018026286
- Text: SIM1
  Average Value: 0.800047806185887
- Text: NTRK2
  Average Value: 0.576403034472586
- Text: SH2B1
  Average Value: 0.301108833437714
- Text: KSR2
  Average Value: 0.806005836415814
- Text: ADCY3
  Average Value: 0.0266956229175093

